Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	UCSC-style-name
HSCHR2_1_CTG5	alt-scaffold	2	Chromosome	GL383521.1	=	NW_003315908.1	ALT_REF_LOCI_1	chr2_GL383521v1_alt
HSCHR2_1_CTG7_2	alt-scaffold	2	Chromosome	GL383522.1	=	NW_003315909.1	ALT_REF_LOCI_1	chr2_GL383522v1_alt
HSCHR2_2_CTG7_2	alt-scaffold	2	Chromosome	GL582966.2	=	NW_003571033.2	ALT_REF_LOCI_1	chr2_GL582966v2_alt
HSCHR2_1_CTG15	alt-scaffold	2	Chromosome	KI270767.1	=	NT_187523.1	ALT_REF_LOCI_1	chr2_KI270767v1_alt
HSCHR2_3_CTG7_2	alt-scaffold	2	Chromosome	KI270768.1	=	NT_187528.1	ALT_REF_LOCI_1	chr2_KI270768v1_alt
HSCHR2_1_CTG1	alt-scaffold	2	Chromosome	KI270769.1	=	NT_187522.1	ALT_REF_LOCI_1	chr2_KI270769v1_alt
HSCHR2_2_CTG1	alt-scaffold	2	Chromosome	KI270770.1	=	NT_187525.1	ALT_REF_LOCI_1	chr2_KI270770v1_alt
HSCHR2_4_CTG7_2	alt-scaffold	2	Chromosome	KI270771.1	=	NT_187530.1	ALT_REF_LOCI_1	chr2_KI270771v1_alt
HSCHR2_1_CTG7	alt-scaffold	2	Chromosome	KI270772.1	=	NT_187524.1	ALT_REF_LOCI_1	chr2_KI270772v1_alt
HSCHR2_3_CTG1	alt-scaffold	2	Chromosome	KI270773.1	=	NT_187526.1	ALT_REF_LOCI_1	chr2_KI270773v1_alt
HSCHR2_4_CTG1	alt-scaffold	2	Chromosome	KI270774.1	=	NT_187529.1	ALT_REF_LOCI_1	chr2_KI270774v1_alt
HSCHR2_5_CTG7_2	alt-scaffold	2	Chromosome	KI270775.1	=	NT_187531.1	ALT_REF_LOCI_1	chr2_KI270775v1_alt
HSCHR2_3_CTG15	alt-scaffold	2	Chromosome	KI270776.1	=	NT_187527.1	ALT_REF_LOCI_1	chr2_KI270776v1_alt
HSCHR3_1_CTG2_1	alt-scaffold	3	Chromosome	GL383526.1	=	NW_003315913.1	ALT_REF_LOCI_1	chr3_GL383526v1_alt
HSCHR3_1_CTG1	alt-scaffold	3	Chromosome	JH636055.2	=	NW_003871060.2	ALT_REF_LOCI_1	chr3_JH636055v2_alt
HSCHR3_2_CTG2_1	alt-scaffold	3	Chromosome	KI270777.1	=	NT_187533.1	ALT_REF_LOCI_1	chr3_KI270777v1_alt
HSCHR3_3_CTG2_1	alt-scaffold	3	Chromosome	KI270778.1	=	NT_187536.1	ALT_REF_LOCI_1	chr3_KI270778v1_alt
HSCHR3_1_CTG3	alt-scaffold	3	Chromosome	KI270779.1	=	NT_187532.1	ALT_REF_LOCI_1	chr3_KI270779v1_alt
HSCHR3_4_CTG2_1	alt-scaffold	3	Chromosome	KI270780.1	=	NT_187537.1	ALT_REF_LOCI_1	chr3_KI270780v1_alt
HSCHR3_5_CTG2_1	alt-scaffold	3	Chromosome	KI270781.1	=	NT_187538.1	ALT_REF_LOCI_1	chr3_KI270781v1_alt
HSCHR3_2_CTG3	alt-scaffold	3	Chromosome	KI270782.1	=	NT_187534.1	ALT_REF_LOCI_1	chr3_KI270782v1_alt
HSCHR3_3_CTG1	alt-scaffold	3	Chromosome	KI270783.1	=	NT_187535.1	ALT_REF_LOCI_1	chr3_KI270783v1_alt
HSCHR3_9_CTG3	alt-scaffold	3	Chromosome	KI270784.1	=	NT_187539.1	ALT_REF_LOCI_1	chr3_KI270784v1_alt
HSCHR4_1_CTG9	alt-scaffold	4	Chromosome	GL000257.2	=	NT_167250.2	ALT_REF_LOCI_1	chr4_GL000257v2_alt
HSCHR4_1_CTG12	alt-scaffold	4	Chromosome	GL383527.1	=	NW_003315914.1	ALT_REF_LOCI_1	chr4_GL383527v1_alt
HSCHR4_1_CTG6	alt-scaffold	4	Chromosome	GL383528.1	=	NW_003315915.1	ALT_REF_LOCI_1	chr4_GL383528v1_alt
HSCHR4_2_CTG12	alt-scaffold	4	Chromosome	KI270785.1	=	NT_187542.1	ALT_REF_LOCI_1	chr4_KI270785v1_alt
HSCHR4_3_CTG12	alt-scaffold	4	Chromosome	KI270786.1	=	NT_187543.1	ALT_REF_LOCI_1	chr4_KI270786v1_alt
HSCHR4_1_CTG8_1	alt-scaffold	4	Chromosome	KI270787.1	=	NT_187541.1	ALT_REF_LOCI_1	chr4_KI270787v1_alt
HSCHR4_4_CTG12	alt-scaffold	4	Chromosome	KI270788.1	=	NT_187544.1	ALT_REF_LOCI_1	chr4_KI270788v1_alt
HSCHR4_5_CTG12	alt-scaffold	4	Chromosome	KI270789.1	=	NT_187545.1	ALT_REF_LOCI_1	chr4_KI270789v1_alt
HSCHR4_1_CTG4	alt-scaffold	4	Chromosome	KI270790.1	=	NT_187540.1	ALT_REF_LOCI_1	chr4_KI270790v1_alt
HSCHR5_2_CTG1_1	alt-scaffold	5	Chromosome	GL339449.2	=	NW_003315917.2	ALT_REF_LOCI_1	chr5_GL339449v2_alt
HSCHR5_3_CTG1_1	alt-scaffold	5	Chromosome	GL383530.1	=	NW_003315918.1	ALT_REF_LOCI_1	chr5_GL383530v1_alt
HSCHR5_1_CTG5	alt-scaffold	5	Chromosome	GL383531.1	=	NW_003315919.1	ALT_REF_LOCI_1	chr5_GL383531v1_alt
HSCHR5_1_CTG1	alt-scaffold	5	Chromosome	GL383532.1	=	NW_003315920.1	ALT_REF_LOCI_1	chr5_GL383532v1_alt
HSCHR5_2_CTG1	alt-scaffold	5	Chromosome	GL949742.1	=	NW_003571036.1	ALT_REF_LOCI_1	chr5_GL949742v1_alt
HSCHR5_3_CTG1	alt-scaffold	5	Chromosome	KI270791.1	=	NT_187547.1	ALT_REF_LOCI_1	chr5_KI270791v1_alt
HSCHR5_4_CTG1	alt-scaffold	5	Chromosome	KI270792.1	=	NT_187548.1	ALT_REF_LOCI_1	chr5_KI270792v1_alt
HSCHR5_5_CTG1	alt-scaffold	5	Chromosome	KI270793.1	=	NT_187550.1	ALT_REF_LOCI_1	chr5_KI270793v1_alt
HSCHR5_6_CTG1	alt-scaffold	5	Chromosome	KI270794.1	=	NT_187551.1	ALT_REF_LOCI_1	chr5_KI270794v1_alt
HSCHR5_2_CTG5	alt-scaffold	5	Chromosome	KI270795.1	=	NT_187546.1	ALT_REF_LOCI_1	chr5_KI270795v1_alt
HSCHR5_4_CTG1_1	alt-scaffold	5	Chromosome	KI270796.1	=	NT_187549.1	ALT_REF_LOCI_1	chr5_KI270796v1_alt
HSCHR6_MHC_APD_CTG1	alt-scaffold	6	Chromosome	GL000250.2	=	NT_167244.2	ALT_REF_LOCI_1	chr6_GL000250v2_alt
HSCHR6_1_CTG2	alt-scaffold	6	Chromosome	GL383533.1	=	NW_003315921.1	ALT_REF_LOCI_1	chr6_GL383533v1_alt
HSCHR6_1_CTG3	alt-scaffold	6	Chromosome	KB021644.2	=	NW_004166862.2	ALT_REF_LOCI_1	chr6_KB021644v2_alt
HSCHR6_1_CTG4	alt-scaffold	6	Chromosome	KI270797.1	=	NT_187552.1	ALT_REF_LOCI_1	chr6_KI270797v1_alt
HSCHR6_1_CTG5	alt-scaffold	6	Chromosome	KI270798.1	=	NT_187553.1	ALT_REF_LOCI_1	chr6_KI270798v1_alt
HSCHR6_1_CTG6	alt-scaffold	6	Chromosome	KI270799.1	=	NT_187554.1	ALT_REF_LOCI_1	chr6_KI270799v1_alt
HSCHR6_1_CTG7	alt-scaffold	6	Chromosome	KI270800.1	=	NT_187555.1	ALT_REF_LOCI_1	chr6_KI270800v1_alt
HSCHR6_1_CTG8	alt-scaffold	6	Chromosome	KI270801.1	=	NT_187556.1	ALT_REF_LOCI_1	chr6_KI270801v1_alt
HSCHR6_1_CTG9	alt-scaffold	6	Chromosome	KI270802.1	=	NT_187557.1	ALT_REF_LOCI_1	chr6_KI270802v1_alt
HSCHR7_1_CTG6	alt-scaffold	7	Chromosome	GL383534.2	=	NW_003315922.2	ALT_REF_LOCI_1	chr7_GL383534v2_alt
HSCHR7_2_CTG6	alt-scaffold	7	Chromosome	KI270803.1	=	NT_187562.1	ALT_REF_LOCI_1	chr7_KI270803v1_alt
HSCHR7_1_CTG1	alt-scaffold	7	Chromosome	KI270804.1	=	NT_187558.1	ALT_REF_LOCI_1	chr7_KI270804v1_alt
HSCHR7_1_CTG7	alt-scaffold	7	Chromosome	KI270805.1	=	NT_187560.1	ALT_REF_LOCI_1	chr7_KI270805v1_alt
HSCHR7_1_CTG4_4	alt-scaffold	7	Chromosome	KI270806.1	=	NT_187559.1	ALT_REF_LOCI_1	chr7_KI270806v1_alt
HSCHR7_2_CTG7	alt-scaffold	7	Chromosome	KI270807.1	=	NT_187563.1	ALT_REF_LOCI_1	chr7_KI270807v1_alt
HSCHR7_3_CTG6	alt-scaffold	7	Chromosome	KI270808.1	=	NT_187564.1	ALT_REF_LOCI_1	chr7_KI270808v1_alt
HSCHR7_2_CTG4_4	alt-scaffold	7	Chromosome	KI270809.1	=	NT_187561.1	ALT_REF_LOCI_1	chr7_KI270809v1_alt
HSCHR8_1_CTG7	alt-scaffold	8	Chromosome	KI270810.1	=	NT_187567.1	ALT_REF_LOCI_1	chr8_KI270810v1_alt
HSCHR8_1_CTG1	alt-scaffold	8	Chromosome	KI270811.1	=	NT_187565.1	ALT_REF_LOCI_1	chr8_KI270811v1_alt
HSCHR8_2_CTG1	alt-scaffold	8	Chromosome	KI270812.1	=	NT_187568.1	ALT_REF_LOCI_1	chr8_KI270812v1_alt
HSCHR8_3_CTG1	alt-scaffold	8	Chromosome	KI270813.1	=	NT_187570.1	ALT_REF_LOCI_1	chr8_KI270813v1_alt
HSCHR8_1_CTG6	alt-scaffold	8	Chromosome	KI270814.1	=	NT_187566.1	ALT_REF_LOCI_1	chr8_KI270814v1_alt
HSCHR8_2_CTG7	alt-scaffold	8	Chromosome	KI270815.1	=	NT_187569.1	ALT_REF_LOCI_1	chr8_KI270815v1_alt
HSCHR8_3_CTG7	alt-scaffold	8	Chromosome	KI270816.1	=	NT_187571.1	ALT_REF_LOCI_1	chr8_KI270816v1_alt
HSCHR8_4_CTG7	alt-scaffold	8	Chromosome	KI270817.1	=	NT_187573.1	ALT_REF_LOCI_1	chr8_KI270817v1_alt
HSCHR8_4_CTG1	alt-scaffold	8	Chromosome	KI270818.1	=	NT_187572.1	ALT_REF_LOCI_1	chr8_KI270818v1_alt
HSCHR8_5_CTG7	alt-scaffold	8	Chromosome	KI270819.1	=	NT_187574.1	ALT_REF_LOCI_1	chr8_KI270819v1_alt
HSCHR8_6_CTG7	alt-scaffold	8	Chromosome	KI270820.1	=	NT_187575.1	ALT_REF_LOCI_1	chr8_KI270820v1_alt
HSCHR8_8_CTG1	alt-scaffold	8	Chromosome	KI270821.1	=	NT_187576.1	ALT_REF_LOCI_1	chr8_KI270821v1_alt
HSCHR8_9_CTG1	alt-scaffold	8	Chromosome	KI270822.1	=	NT_187577.1	ALT_REF_LOCI_1	chr8_KI270822v1_alt
HSCHR9_1_CTG1	alt-scaffold	9	Chromosome	GL383539.1	=	NW_003315928.1	ALT_REF_LOCI_1	chr9_GL383539v1_alt
HSCHR9_1_CTG2	alt-scaffold	9	Chromosome	GL383540.1	=	NW_003315929.1	ALT_REF_LOCI_1	chr9_GL383540v1_alt
HSCHR9_1_CTG3	alt-scaffold	9	Chromosome	GL383541.1	=	NW_003315930.1	ALT_REF_LOCI_1	chr9_GL383541v1_alt
HSCHR9_1_CTG4	alt-scaffold	9	Chromosome	GL383542.1	=	NW_003315931.1	ALT_REF_LOCI_1	chr9_GL383542v1_alt
HSCHR9_1_CTG5	alt-scaffold	9	Chromosome	KI270823.1	=	NT_187578.1	ALT_REF_LOCI_1	chr9_KI270823v1_alt
HSCHR10_1_CTG1	alt-scaffold	10	Chromosome	GL383545.1	=	NW_003315934.1	ALT_REF_LOCI_1	chr10_GL383545v1_alt
HSCHR10_1_CTG2	alt-scaffold	10	Chromosome	GL383546.1	=	NW_003315935.1	ALT_REF_LOCI_1	chr10_GL383546v1_alt
HSCHR10_1_CTG3	alt-scaffold	10	Chromosome	KI270824.1	=	NT_187579.1	ALT_REF_LOCI_1	chr10_KI270824v1_alt
HSCHR10_1_CTG4	alt-scaffold	10	Chromosome	KI270825.1	=	NT_187580.1	ALT_REF_LOCI_1	chr10_KI270825v1_alt
HSCHR11_1_CTG1_1	alt-scaffold	11	Chromosome	GL383547.1	=	NW_003315936.1	ALT_REF_LOCI_1	chr11_GL383547v1_alt
HG142_HG150_NOVEL_TEST	alt-scaffold	11	Chromosome	JH159136.1	=	NW_003871073.1	ALT_REF_LOCI_1	chr11_JH159136v1_alt
HG151_NOVEL_TEST	alt-scaffold	11	Chromosome	JH159137.1	=	NW_003871074.1	ALT_REF_LOCI_1	chr11_JH159137v1_alt
HSCHR11_1_CTG2	alt-scaffold	11	Chromosome	KI270826.1	=	NT_187581.1	ALT_REF_LOCI_1	chr11_KI270826v1_alt
HSCHR11_1_CTG3	alt-scaffold	11	Chromosome	KI270827.1	=	NT_187582.1	ALT_REF_LOCI_1	chr11_KI270827v1_alt
HSCHR11_1_CTG5	alt-scaffold	11	Chromosome	KI270829.1	=	NT_187583.1	ALT_REF_LOCI_1	chr11_KI270829v1_alt
HSCHR11_1_CTG6	alt-scaffold	11	Chromosome	KI270830.1	=	NT_187584.1	ALT_REF_LOCI_1	chr11_KI270830v1_alt
HSCHR11_1_CTG7	alt-scaffold	11	Chromosome	KI270831.1	=	NT_187585.1	ALT_REF_LOCI_1	chr11_KI270831v1_alt
HSCHR11_1_CTG8	alt-scaffold	11	Chromosome	KI270832.1	=	NT_187586.1	ALT_REF_LOCI_1	chr11_KI270832v1_alt
HSCHR12_1_CTG2	alt-scaffold	12	Chromosome	GL383549.1	=	NW_003315938.1	ALT_REF_LOCI_1	chr12_GL383549v1_alt
HSCHR12_1_CTG2_1	alt-scaffold	12	Chromosome	GL383550.2	=	NW_003315939.2	ALT_REF_LOCI_1	chr12_GL383550v2_alt
HSCHR12_4_CTG2_1	alt-scaffold	12	Chromosome	GL383551.1	=	NW_003315940.1	ALT_REF_LOCI_1	chr12_GL383551v1_alt
HSCHR12_2_CTG2_1	alt-scaffold	12	Chromosome	GL383552.1	=	NW_003315941.1	ALT_REF_LOCI_1	chr12_GL383552v1_alt
HSCHR12_3_CTG2_1	alt-scaffold	12	Chromosome	GL383553.2	=	NW_003315942.2	ALT_REF_LOCI_1	chr12_GL383553v2_alt
HSCHR12_1_CTG1	alt-scaffold	12	Chromosome	GL877875.1	=	NW_003571049.1	ALT_REF_LOCI_1	chr12_GL877875v1_alt
HSCHR12_2_CTG2	alt-scaffold	12	Chromosome	GL877876.1	=	NW_003571050.1	ALT_REF_LOCI_1	chr12_GL877876v1_alt
HSCHR12_5_CTG2_1	alt-scaffold	12	Chromosome	KI270833.1	=	NT_187589.1	ALT_REF_LOCI_1	chr12_KI270833v1_alt
HSCHR12_6_CTG2_1	alt-scaffold	12	Chromosome	KI270834.1	=	NT_187590.1	ALT_REF_LOCI_1	chr12_KI270834v1_alt
HSCHR12_4_CTG2	alt-scaffold	12	Chromosome	KI270835.1	=	NT_187587.1	ALT_REF_LOCI_1	chr12_KI270835v1_alt
HSCHR12_7_CTG2_1	alt-scaffold	12	Chromosome	KI270836.1	=	NT_187591.1	ALT_REF_LOCI_1	chr12_KI270836v1_alt
HSCHR12_5_CTG2	alt-scaffold	12	Chromosome	KI270837.1	=	NT_187588.1	ALT_REF_LOCI_1	chr12_KI270837v1_alt
HSCHR13_1_CTG1	alt-scaffold	13	Chromosome	KI270838.1	=	NT_187592.1	ALT_REF_LOCI_1	chr13_KI270838v1_alt
HSCHR13_1_CTG2	alt-scaffold	13	Chromosome	KI270839.1	=	NT_187593.1	ALT_REF_LOCI_1	chr13_KI270839v1_alt
HSCHR13_1_CTG3	alt-scaffold	13	Chromosome	KI270840.1	=	NT_187594.1	ALT_REF_LOCI_1	chr13_KI270840v1_alt
HSCHR13_1_CTG4	alt-scaffold	13	Chromosome	KI270841.1	=	NT_187595.1	ALT_REF_LOCI_1	chr13_KI270841v1_alt
HSCHR13_1_CTG5	alt-scaffold	13	Chromosome	KI270842.1	=	NT_187596.1	ALT_REF_LOCI_1	chr13_KI270842v1_alt
HSCHR13_1_CTG6	alt-scaffold	13	Chromosome	KI270843.1	=	NT_187597.1	ALT_REF_LOCI_1	chr13_KI270843v1_alt
HSCHR14_1_CTG1	alt-scaffold	14	Chromosome	KI270844.1	=	NT_187598.1	ALT_REF_LOCI_1	chr14_KI270844v1_alt
HSCHR14_2_CTG1	alt-scaffold	14	Chromosome	KI270845.1	=	NT_187599.1	ALT_REF_LOCI_1	chr14_KI270845v1_alt
HSCHR14_3_CTG1	alt-scaffold	14	Chromosome	KI270846.1	=	NT_187600.1	ALT_REF_LOCI_1	chr14_KI270846v1_alt
HSCHR14_7_CTG1	alt-scaffold	14	Chromosome	KI270847.1	=	NT_187601.1	ALT_REF_LOCI_1	chr14_KI270847v1_alt
HSCHR15_1_CTG8	alt-scaffold	15	Chromosome	GL383554.1	=	NW_003315943.1	ALT_REF_LOCI_1	chr15_GL383554v1_alt
HSCHR15_2_CTG8	alt-scaffold	15	Chromosome	GL383555.2	=	NW_003315944.2	ALT_REF_LOCI_1	chr15_GL383555v2_alt
HSCHR15_1_CTG3	alt-scaffold	15	Chromosome	KI270848.1	=	NT_187603.1	ALT_REF_LOCI_1	chr15_KI270848v1_alt
HSCHR15_3_CTG8	alt-scaffold	15	Chromosome	KI270849.1	=	NT_187605.1	ALT_REF_LOCI_1	chr15_KI270849v1_alt
HSCHR15_5_CTG8	alt-scaffold	15	Chromosome	KI270850.1	=	NT_187606.1	ALT_REF_LOCI_1	chr15_KI270850v1_alt
HSCHR15_3_CTG3	alt-scaffold	15	Chromosome	KI270851.1	=	NT_187604.1	ALT_REF_LOCI_1	chr15_KI270851v1_alt
HSCHR15_1_CTG1	alt-scaffold	15	Chromosome	KI270852.1	=	NT_187602.1	ALT_REF_LOCI_1	chr15_KI270852v1_alt
HSCHR16_1_CTG3_1	alt-scaffold	16	Chromosome	GL383556.1	=	NW_003315945.1	ALT_REF_LOCI_1	chr16_GL383556v1_alt
HSCHR16_2_CTG3_1	alt-scaffold	16	Chromosome	GL383557.1	=	NW_003315946.1	ALT_REF_LOCI_1	chr16_GL383557v1_alt
HSCHR16_1_CTG1	alt-scaffold	16	Chromosome	KI270853.1	=	NT_187607.1	ALT_REF_LOCI_1	chr16_KI270853v1_alt
HSCHR16_CTG2	alt-scaffold	16	Chromosome	KI270854.1	=	NT_187610.1	ALT_REF_LOCI_1	chr16_KI270854v1_alt
HSCHR16_3_CTG1	alt-scaffold	16	Chromosome	KI270855.1	=	NT_187608.1	ALT_REF_LOCI_1	chr16_KI270855v1_alt
HSCHR16_4_CTG1	alt-scaffold	16	Chromosome	KI270856.1	=	NT_187609.1	ALT_REF_LOCI_1	chr16_KI270856v1_alt
HSCHR17_1_CTG5	alt-scaffold	17	Chromosome	GL000258.2	=	NT_167251.2	ALT_REF_LOCI_1	chr17_GL000258v2_alt
HSCHR17_1_CTG1	alt-scaffold	17	Chromosome	GL383563.3	=	NW_003315952.3	ALT_REF_LOCI_1	chr17_GL383563v3_alt
HSCHR17_1_CTG4	alt-scaffold	17	Chromosome	GL383564.2	=	NW_003315953.2	ALT_REF_LOCI_1	chr17_GL383564v2_alt
HSCHR17_2_CTG4	alt-scaffold	17	Chromosome	GL383565.1	=	NW_003315954.1	ALT_REF_LOCI_1	chr17_GL383565v1_alt
HSCHR17_3_CTG4	alt-scaffold	17	Chromosome	GL383566.1	=	NW_003315955.1	ALT_REF_LOCI_1	chr17_GL383566v1_alt
HSCHR17_4_CTG4	alt-scaffold	17	Chromosome	JH159146.1	=	NW_003871091.1	ALT_REF_LOCI_1	chr17_JH159146v1_alt
HSCHR17_5_CTG4	alt-scaffold	17	Chromosome	JH159147.1	=	NW_003871092.1	ALT_REF_LOCI_1	chr17_JH159147v1_alt
HSCHR17_7_CTG4	alt-scaffold	17	Chromosome	KI270857.1	=	NT_187614.1	ALT_REF_LOCI_1	chr17_KI270857v1_alt
HSCHR17_8_CTG4	alt-scaffold	17	Chromosome	KI270858.1	=	NT_187615.1	ALT_REF_LOCI_1	chr17_KI270858v1_alt
HSCHR17_9_CTG4	alt-scaffold	17	Chromosome	KI270859.1	=	NT_187616.1	ALT_REF_LOCI_1	chr17_KI270859v1_alt
HSCHR17_1_CTG9	alt-scaffold	17	Chromosome	KI270860.1	=	NT_187612.1	ALT_REF_LOCI_1	chr17_KI270860v1_alt
HSCHR17_1_CTG2	alt-scaffold	17	Chromosome	KI270861.1	=	NT_187611.1	ALT_REF_LOCI_1	chr17_KI270861v1_alt
HSCHR17_2_CTG2	alt-scaffold	17	Chromosome	KI270862.1	=	NT_187613.1	ALT_REF_LOCI_1	chr17_KI270862v1_alt
HSCHR18_1_CTG1_1	alt-scaffold	18	Chromosome	GL383567.1	=	NW_003315956.1	ALT_REF_LOCI_1	chr18_GL383567v1_alt
HSCHR18_1_CTG2	alt-scaffold	18	Chromosome	GL383568.1	=	NW_003315957.1	ALT_REF_LOCI_1	chr18_GL383568v1_alt
HSCHR18_1_CTG2_1	alt-scaffold	18	Chromosome	GL383569.1	=	NW_003315958.1	ALT_REF_LOCI_1	chr18_GL383569v1_alt
HSCHR18_2_CTG1_1	alt-scaffold	18	Chromosome	GL383570.1	=	NW_003315959.1	ALT_REF_LOCI_1	chr18_GL383570v1_alt
HSCHR18_2_CTG2	alt-scaffold	18	Chromosome	GL383571.1	=	NW_003315960.1	ALT_REF_LOCI_1	chr18_GL383571v1_alt
HSCHR18_2_CTG2_1	alt-scaffold	18	Chromosome	GL383572.1	=	NW_003315961.1	ALT_REF_LOCI_1	chr18_GL383572v1_alt
HSCHR18_3_CTG2_1	alt-scaffold	18	Chromosome	KI270863.1	=	NT_187617.1	ALT_REF_LOCI_1	chr18_KI270863v1_alt
HSCHR18_4_CTG1_1	alt-scaffold	18	Chromosome	KI270864.1	=	NT_187618.1	ALT_REF_LOCI_1	chr18_KI270864v1_alt
HSCHR19_1_CTG2	alt-scaffold	19	Chromosome	GL383573.1	=	NW_003315962.1	ALT_REF_LOCI_1	chr19_GL383573v1_alt
HSCHR19_1_CTG3_1	alt-scaffold	19	Chromosome	GL383574.1	=	NW_003315963.1	ALT_REF_LOCI_1	chr19_GL383574v1_alt
HSCHR19_2_CTG2	alt-scaffold	19	Chromosome	GL383575.2	=	NW_003315964.2	ALT_REF_LOCI_1	chr19_GL383575v2_alt
HSCHR19_3_CTG2	alt-scaffold	19	Chromosome	GL383576.1	=	NW_003315965.1	ALT_REF_LOCI_1	chr19_GL383576v1_alt
HSCHR19LRC_COX1_CTG3_1	alt-scaffold	19	Chromosome	GL949746.1	=	NW_003571054.1	ALT_REF_LOCI_1	chr19_GL949746v1_alt
HSCHR19_4_CTG2	alt-scaffold	19	Chromosome	KI270865.1	=	NT_187621.1	ALT_REF_LOCI_1	chr19_KI270865v1_alt
HSCHR19_2_CTG3_1	alt-scaffold	19	Chromosome	KI270866.1	=	NT_187619.1	ALT_REF_LOCI_1	chr19_KI270866v1_alt
HSCHR19_3_CTG3_1	alt-scaffold	19	Chromosome	KI270867.1	=	NT_187620.1	ALT_REF_LOCI_1	chr19_KI270867v1_alt
HSCHR19_5_CTG2	alt-scaffold	19	Chromosome	KI270868.1	=	NT_187622.1	ALT_REF_LOCI_1	chr19_KI270868v1_alt
HSCHR20_1_CTG1	alt-scaffold	20	Chromosome	GL383577.2	=	NW_003315966.2	ALT_REF_LOCI_1	chr20_GL383577v2_alt
HSCHR20_1_CTG2	alt-scaffold	20	Chromosome	KI270869.1	=	NT_187623.1	ALT_REF_LOCI_1	chr20_KI270869v1_alt
HSCHR20_1_CTG3	alt-scaffold	20	Chromosome	KI270870.1	=	NT_187624.1	ALT_REF_LOCI_1	chr20_KI270870v1_alt
HSCHR20_1_CTG4	alt-scaffold	20	Chromosome	KI270871.1	=	NT_187625.1	ALT_REF_LOCI_1	chr20_KI270871v1_alt
HSCHR21_1_CTG1_1	alt-scaffold	21	Chromosome	GL383578.2	=	NW_003315967.2	ALT_REF_LOCI_1	chr21_GL383578v2_alt
HSCHR21_2_CTG1_1	alt-scaffold	21	Chromosome	GL383579.2	=	NW_003315968.2	ALT_REF_LOCI_1	chr21_GL383579v2_alt
HSCHR21_3_CTG1_1	alt-scaffold	21	Chromosome	GL383580.2	=	NW_003315969.2	ALT_REF_LOCI_1	chr21_GL383580v2_alt
HSCHR21_4_CTG1_1	alt-scaffold	21	Chromosome	GL383581.2	=	NW_003315970.2	ALT_REF_LOCI_1	chr21_GL383581v2_alt
HSCHR21_5_CTG2	alt-scaffold	21	Chromosome	KI270872.1	=	NT_187626.1	ALT_REF_LOCI_1	chr21_KI270872v1_alt
HSCHR21_6_CTG1_1	alt-scaffold	21	Chromosome	KI270873.1	=	NT_187627.1	ALT_REF_LOCI_1	chr21_KI270873v1_alt
HSCHR21_8_CTG1_1	alt-scaffold	21	Chromosome	KI270874.1	=	NT_187628.1	ALT_REF_LOCI_1	chr21_KI270874v1_alt
HSCHR22_1_CTG1	alt-scaffold	22	Chromosome	GL383582.2	=	NW_003315971.2	ALT_REF_LOCI_1	chr22_GL383582v2_alt
HSCHR22_1_CTG2	alt-scaffold	22	Chromosome	GL383583.2	=	NW_003315972.2	ALT_REF_LOCI_1	chr22_GL383583v2_alt
HSCHR22_1_CTG3	alt-scaffold	22	Chromosome	KI270875.1	=	NT_187629.1	ALT_REF_LOCI_1	chr22_KI270875v1_alt
HSCHR22_1_CTG4	alt-scaffold	22	Chromosome	KI270876.1	=	NT_187630.1	ALT_REF_LOCI_1	chr22_KI270876v1_alt
HSCHR22_1_CTG5	alt-scaffold	22	Chromosome	KI270877.1	=	NT_187631.1	ALT_REF_LOCI_1	chr22_KI270877v1_alt
HSCHR22_1_CTG6	alt-scaffold	22	Chromosome	KI270878.1	=	NT_187632.1	ALT_REF_LOCI_1	chr22_KI270878v1_alt
HSCHR22_1_CTG7	alt-scaffold	22	Chromosome	KI270879.1	=	NT_187633.1	ALT_REF_LOCI_1	chr22_KI270879v1_alt
HSCHRX_1_CTG3	alt-scaffold	X	Chromosome	KI270880.1	=	NT_187634.1	ALT_REF_LOCI_1	chrX_KI270880v1_alt
HSCHRX_2_CTG12	alt-scaffold	X	Chromosome	KI270881.1	=	NT_187635.1	ALT_REF_LOCI_1	chrX_KI270881v1_alt
HSCHR19KIR_FH15_B_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270882.1	=	NT_187636.1	ALT_REF_LOCI_10	chr19_KI270882v1_alt
HSCHR19KIR_G085_A_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270883.1	=	NT_187637.1	ALT_REF_LOCI_11	chr19_KI270883v1_alt
HSCHR19KIR_G085_BA1_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270884.1	=	NT_187638.1	ALT_REF_LOCI_12	chr19_KI270884v1_alt
HSCHR19KIR_G248_A_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270885.1	=	NT_187639.1	ALT_REF_LOCI_13	chr19_KI270885v1_alt
HSCHR19KIR_G248_BA2_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270886.1	=	NT_187640.1	ALT_REF_LOCI_14	chr19_KI270886v1_alt
HSCHR19KIR_GRC212_AB_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270887.1	=	NT_187641.1	ALT_REF_LOCI_15	chr19_KI270887v1_alt
